BCID_Bayes	s_mean(1/cycle)	s_std(1/cycle)	called_timepoint
0	0.3641167137080292	0.03399362191071321	9
1	0.5801821610914214	0.030282935759633502	9
2	0.7295839194431183	0.04749849057838609	9
3	0.5592476051589401	0.032872576440768256	9
4	0.7373765285160421	0.033348618396153266	9
5	0.5049587864473278	0.04038689079472025	9
6	0.23653084570526936	0.033332798107049234	9
8	0.4699545529019707	0.033949662011169245	9
9	0.30271261074366845	0.027511770651506447	9
13	0.4332256729633844	0.04022666614521578	9
14	0.5780370102384371	0.03823852619522431	9
15	0.3400692067996889	0.03968066035152524	9
16	0.46246865772780255	0.03650818979417926	9
17	0.5422506935586457	0.03484927966295512	7
18	0.4792288700701085	0.03115558469835202	9
19	0.5182679803821522	0.036747529539608956	9
20	0.48135360440615876	0.03782862483238136	9
21	0.3376304669258364	0.037420607916162495	9
22	0.813039556697706	0.03993937083116324	9
23	0.6233132148085585	0.031495467508999585	9
24	0.5528438411785938	0.039810789521741934	9
25	0.6514475069465463	0.037564202527175024	9
26	0.3464489178670285	0.037108193607270655	7
27	0.458756318120391	0.03580347255596926	9
28	0.4212656471266459	0.04229731415308716	9
29	0.47303644623831176	0.03786745046690471	8
30	0.3026150623012073	0.028991709558276558	9
31	0.257094475666879	0.03264388928988661	9
33	0.6173184192737772	0.04139297429089284	9
35	0.3688181491408355	0.04714239235820063	7
36	0.2361252490546094	0.05585155941711237	5
37	0.1426724487812232	0.03076975591507987	9
38	0.4450330087318278	0.044532407842142165	9
39	0.15490107203523631	0.03600897448221169	9
42	0.4448206387143853	0.04999898171280891	9
43	0.5718206626613348	0.04632574335111271	9
44	0.35155568366513223	0.040186199965155794	9
46	0.457484017910078	0.05101408433264242	9
47	0.41715801094590554	0.04135593979790266	9
48	0.6712648139847118	0.03909231400736165	6
49	0.2738045933203136	0.043355884826692836	9
51	0.42984164508020095	0.038437961435864566	9
52	0.3336370754338499	0.031875681963473276	9
53	0.3176431969898574	0.02888836127293745	9
54	0.4544133661130656	0.03868979050021301	9
55	0.15955244112032196	0.037485262819136424	6
56	0.5806895486239472	0.059209238864276224	9
57	0.33591034474012893	0.02958192444662025	9
58	0.7413058033379604	0.04616342847083214	9
60	0.7187098544487237	0.03539132832059259	8
61	0.34165016863468844	0.03290550057570876	9
63	0.4836112339538778	0.04025677865661341	9
64	0.3808503693051991	0.06274363104279305	9
65	0.4685496303904663	0.044353669482026785	8
66	0.6154884617925314	0.04373791307250483	9
67	0.35695272929946514	0.04059211382162896	9
68	0.3442725064194799	0.030017887436892064	9
69	0.5608710423405633	0.034158966174342484	9
70	0.6518050558678926	0.033833263310251244	9
71	0.8620497911723273	0.030729078114634246	9
72	0.6090732131087274	0.0369668430010481	9
73	0.35530914468914104	0.052041439274527944	9
74	0.37135896004635127	0.02219072999973982	9
75	0.23227457822717965	0.04523738481236851	8
76	0.5505210114514226	0.03897378363575352	9
77	0.6011783654258491	0.038387774035793534	9
78	0.6050637583451333	0.03281501440294026	9
79	0.49603762018606595	0.029962288732564308	9
80	0.500158265569087	0.03213696865240542	9
81	0.1925346327303597	0.03207773196681025	9
82	0.3834210443544872	0.03928826522299641	9
83	0.39723551285592246	0.0548006602722317	8
84	0.5002521567801989	0.0336569890317085	9
85	0.7887006560945107	0.0183480384924655	9
86	0.21462667841178817	0.04476659838046254	6
87	0.4747673963158941	0.03856400030502513	8
88	0.8459413205432127	0.027615744585378244	9
89	0.6891125886929598	0.04305854498409648	9
90	0.464119791829989	0.03027850741627627	9
91	0.34945571751994353	0.039705687721709085	8
92	0.45319445953530957	0.043717328877376345	9
93	0.45991522299293147	0.04641321374463677	9
94	0.52500945697248	0.06008769015964332	9
95	0.7180423986516783	0.060073238057917325	8
96	0.5322281959518363	0.03959987999436384	9
97	0.28256491692904656	0.04292431011993571	6
98	0.18908893326006282	0.02992389995468138	9
100	0.38832359317859777	0.03434031035382895	9
101	0.5102148985185415	0.03774076333228208	8
103	0.5955670773728541	0.033504306863642155	9
105	0.19122565971676764	0.034781663207192684	9
106	0.4251528167060052	0.034045774060575344	9
107	0.7788531665323859	0.031164765471244738	9
109	0.577723782253062	0.036915301636866175	9
111	0.3297331131734105	0.05017532800615355	8
112	0.6829037927474075	0.036274394651047266	9
114	0.3914973942734382	0.03765359856830464	9
115	0.7387019726685404	0.032993349668457995	9
117	0.5938642838742005	0.028931086541798257	9
118	0.43546583099675906	0.0307147837633966	9
119	0.40545485017031624	0.036434117149052106	8
120	0.28779080882963437	0.038751037502914434	6
121	0.6219224484009923	0.035346524673893105	9
122	0.45964181257757575	0.03294721300146914	9
123	0.26377120584149205	0.04610282548155024	6
124	0.4671142101155252	0.046668932559184396	9
125	0.41341866127548826	0.04087062811337048	9
126	0.6154693076308749	0.031258677354012596	9
127	0.39236947046262566	0.03185696170727356	9
128	0.4195619664172958	0.028389749256409188	9
129	0.34336559494962327	0.03357548516111978	9
131	0.47678678037488964	0.037980679456437794	9
132	0.4596368497501189	0.02814494304225982	9
133	0.5878667191723782	0.039518468707006746	8
134	0.3430930087046932	0.03923725533485774	9
135	0.5614796669935764	0.03694795531148963	9
136	0.4308673842136382	0.03794522005700572	8
139	0.7741117573485992	0.050895087621875904	9
140	0.4874958048534353	0.039713633945409284	7
141	0.687442569763738	0.03549918226434074	9
142	0.5788669464112701	0.048366924980807795	8
143	0.24239342820778262	0.05331628628720895	7
144	0.5553431793293494	0.03759210122865561	9
146	0.3733794615211875	0.025553593925960683	9
147	0.31401504636332767	0.039881595412693406	9
149	0.3711212570492761	0.03697111307660626	9
150	0.4163492921563338	0.03173670371631402	9
151	0.3452652274960417	0.03782372568455634	9
152	0.7191439232053539	0.02920004263892348	9
153	0.3941497140837426	0.04553781973001061	8
154	0.2894880431908092	0.06609694518920588	7
155	0.49867076054901455	0.03510509165204822	9
157	0.40267174048953325	0.036642122256104484	9
158	0.4553059175496308	0.04562423397156694	9
159	0.4681812960597946	0.0360171666116299	9
160	0.2870763459465697	0.033392045225402525	9
